iter,timestamp,n_games,rollout_seconds,n_actions,mean_turns,s1_wins,s2_wins,draws,action_recruit_pct,action_move_pct,action_attack_pct,action_end_turn_pct,action_other_pct,mean_units_end_s1,mean_units_end_s2,closest_approach_s1,closest_approach_s2,train_n_trajectories,train_n_transitions,train_loss,train_policy_loss,train_value_loss,train_entropy,train_mean_return,train_grad_norm,r_gold_killed,r_village_delta,r_damage_dealt,r_unit_recruited_cost,r_per_turn_penalty,r_leader_move_penalty,r_invalid_action,r_min_enemy_distance,r_approach_mp,r_unused_mp,r_fog_reveal,r_attack_attempt,r_unit_type_bonus,r_turn_cond_bonus,r_terminal,mean_end_gold_s1,mean_end_gold_s2,n_recruits_s1,n_recruits_s2,n_recruit_attempts_s1,n_recruit_attempts_s2
42,2026-05-21T10:36:53,6,109.74103672988713,2965,201.0,0,0,6,2.2259696458684655,95.88532883642496,0.0,1.8887015177065767,0.0,6.0,7.0,22.0,21.5,12,2965,-8.11424046551871,-9.769389183076271,3.3179920689435676,3.8473169142234838,0.056510791182518005,47.030555725097656,,0.2,,1.0770000000000004,,-0.47000000000000025,,,0.7000000000000005,,1.9369437608280704,,,,,-455.0,105.16666666666667,30,36,30,36
43,2026-05-21T10:39:44,8,106.9884924814105,3912,201.0,0,0,8,2.17280163599182,90.72085889570552,0.0,7.106339468302658,0.0,4.625,8.0,23.875,22.375,16,3912,3.146195430530804,1.4221917867424971,3.45371593820164,2.854325312512856,0.00819670781493187,41.77470016479492,,0.39999999999999997,,1.3559999999999999,,-2.7899999999999845,,,0.7000000000000004,,2.0834035202651404,,,,,-5.625,-20.0,29,56,29,56
44,2026-05-21T10:43:04,8,135.6612163633108,4216,201.0,0,0,8,2.3481973434535104,95.30360531309297,0.7352941176470589,1.6129032258064515,0.0,6.75,7.625,16.75,19.0,16,4000,-1.9668343362319274,-3.7037385628584616,3.481662515667267,3.9270312070993896,0.13855129480361938,49.3360710144043,,0.49999999999999994,3.4650000000000007,1.5419999999999985,,-0.7700000000000005,,,1.0600000000000007,,2.8777199300399268,0.15500000000000005,,,,-203.125,109.625,46,53,46,53
45,2026-05-21T10:44:57,6,79.81791858095676,2951,201.0,0,0,6,2.202643171806167,95.15418502202643,0.711623178583531,1.9315486275838698,0.0,5.0,7.833333333333333,22.333333333333332,22.666666666666668,12,2951,-2.1807401937008617,-3.868035817349103,3.380820427904837,3.114590304177,0.04978713393211365,41.09120559692383,,0.35,,0.9800000000000006,,-0.9600000000000006,,,0.5900000000000002,,1.6351333986762682,0.10500000000000002,,,,-95.66666666666667,87.16666666666667,24,41,24,41
46,2026-05-21T10:47:12,6,90.3229789044708,2716,201.0,0,0,6,2.2091310751104567,97.09131075110457,0.0,0.6995581737849779,0.0,5.5,6.5,25.666666666666668,26.833333333333332,12,2716,-8.99726971351664,-10.632068031542076,3.2766294436878525,3.5164038184902893,0.05626078322529793,50.860984802246094,,0.35,,0.9690000000000006,,-0.23000000000000007,,,0.5000000000000002,,1.4632567002458619,,,,,-276.0,336.3333333333333,27,33,27,33
47,2026-05-21T10:49:20,6,95.8370019076392,2951,201.0,0,0,6,2.3381904439173162,95.89969501863774,0.0,1.7621145374449338,0.0,6.833333333333333,6.666666666666667,16.0,19.0,12,2951,-8.85449855057509,-10.627548209991957,3.5533656316110864,3.6331563886760705,0.09172657132148743,57.59564208984375,,0.7000000000000001,,1.0800000000000005,,-0.13999999999999999,,,0.7200000000000004,,2.3037445864725776,,,,,44.0,106.33333333333333,35,34,35,34
48,2026-05-21T10:52:09,7,111.89832186792046,3555,201.0,0,0,7,2.3628691983122363,94.9929676511955,0.39381153305203936,2.250351617440225,0.0,5.571428571428571,8.428571428571429,20.285714285714285,23.0,14,3555,3.710319142318478,1.9631348832070046,3.500734003202524,3.182742489788666,0.033855140209198,66.85908508300781,,0.39999999999999997,,1.3410000000000004,,-2.6999999999999864,,,0.8000000000000005,,1.950158860180525,0.06999999999999999,,,,-138.85714285714286,107.28571428571429,32,52,32,52
49,2026-05-21T10:55:03,8,123.4301481237635,4151,201.0,0,0,8,2.3126957359672367,93.27872801734522,0.8190797398217297,3.5894965068658156,0.0,6.25,7.75,16.625,17.125,16,4000,3.1554619975293687,1.3507602929671805,3.616362643020693,3.4796169481583092,0.06742973625659943,24.776885986328125,,0.9000000000000002,,1.546999999999999,,-1.270000000000001,,,1.4700000000000009,,2.64021912755711,0.17000000000000007,,,,137.625,-58.25,42,54,42,54
50,2026-05-21T10:58:00,8,132.68816953711212,4018,201.0,0,0,8,2.6381284221005474,95.66948730711798,0.0,1.6923842707814833,0.0,6.0,9.25,19.625,19.0,16,4000,-9.751975971847294,-11.468906406799633,3.441574938246049,3.8570341706863474,0.07264020293951035,46.263816833496094,,0.7000000000000001,,1.6879999999999984,,-0.6200000000000003,,,1.0100000000000007,,2.617213741853704,,,,,-287.0,91.875,40,66,40,66
51,2026-05-21T11:01:25,8,139.59485733415931,3794,201.0,0,0,8,2.6093832366895096,96.09910384818134,0.0,1.2915129151291513,0.0,6.375,8.0,24.625,23.75,16,3794,-8.575516672639445,-10.243442594032217,3.3436689431546256,3.9085501845402177,0.05823282524943352,48.223270416259766,,0.5499999999999999,,1.5909999999999995,,-0.2700000000000001,,,0.6800000000000004,,2.1746982996710873,,,,,-224.375,155.25,43,56,43,56
52,2026-05-21T11:04:30,7,119.20363136474043,3689,201.0,0,0,7,2.4939007861209,95.7441040932502,0.29818378964489023,1.4638113309840064,0.0,6.571428571428571,8.571428571428571,15.714285714285714,14.857142857142858,14,3689,-5.3185881590831405,-7.059341315429464,3.4892545725451782,3.8741299262655957,0.08271259069442749,34.88158416748047,,0.9000000000000002,,1.4319999999999988,,-0.6500000000000004,,,0.9800000000000006,,2.676733191176057,0.05499999999999999,,,,-55.57142857142857,159.14285714285714,39,53,39,53
53,2026-05-21T11:07:27,7,121.71658470574766,3406,201.0,0,0,7,2.4075161479741634,95.59600704638872,1.262477980035232,0.733998825601879,0.0,6.857142857142857,6.857142857142857,17.142857142857142,16.714285714285715,14,3406,-3.3285483049987357,-5.029414680155639,3.4095743570360355,3.92080336111394,0.06514361500740051,57.13341522216797,,0.3,,1.3179999999999996,,-0.12999999999999998,,,0.8600000000000004,,2.3227913891917624,0.2150000000000001,,,,-337.42857142857144,-276.14285714285717,41,41,41,41
54,2026-05-21T11:10:05,8,113.18911036103964,3726,201.0,0,0,8,2.3081052066559313,97.28931830381106,0.0,0.4025764895330113,0.0,5.375,7.375,23.0,23.625,16,3726,-0.34880838018003524,-2.0191552164806836,3.347623490728438,3.4649090635705306,0.049386024475097656,41.70322036743164,,0.1,,1.334,,-0.4000000000000002,,,0.7000000000000005,,2.196808725687096,,,,,-390.0,-110.375,35,51,35,51
